platform_label,fixture_id,encoder,policy,field_id,category,container,source_ordinal,source_value_bytes,source_value_sha256,retained,reason,output_value_sha256,semantic_value_exact
macos-arm64-default,canonical_order,pillow,drop_location_denylist,exif.datetime,temporal,app1_exif,1,19,5ddef0c44a26e0b7b7d7b23402e031233ada29a57cfdf1014da8622ba9a8c0f7,1,not_denied,5ddef0c44a26e0b7b7d7b23402e031233ada29a57cfdf1014da8622ba9a8c0f7,1
macos-arm64-default,canonical_order,pillow,drop_location_denylist,exif.image_description,descriptive,app1_exif,1,27,bcbc96e63b798af4849f383f467e7f8fef414450f8775b88fa48f47a02f24a8c,1,not_denied,bcbc96e63b798af4849f383f467e7f8fef414450f8775b88fa48f47a02f24a8c,1
macos-arm64-default,canonical_order,pillow,drop_location_denylist,exif.orientation,interpretation,app1_exif,1,1,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1,not_denied,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1
macos-arm64-default,canonical_order,pillow,drop_location_denylist,icc.profile,interpretation,app2_icc,3,588,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1,not_denied,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1
macos-arm64-default,canonical_order,pillow,drop_location_denylist,jpeg.comment,descriptive,jpeg_com,5,22,351c5bdaee6ca960c13f54697d6deeb3d0d99cb306de8dedc100c4e81d74aed0,1,not_denied,351c5bdaee6ca960c13f54697d6deeb3d0d99cb306de8dedc100c4e81d74aed0,1
macos-arm64-default,canonical_order,pillow,drop_location_denylist,xmp.dc_creator,attribution,app1_xmp,2,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1,not_denied,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1
macos-arm64-default,canonical_order,pillow,drop_location_denylist,xmp.dc_title,descriptive,app1_xmp,2,32,a71e42e452ca253da1e8880c15dc938245d68a7bb82bc2336b4af07e26399710,1,not_denied,a71e42e452ca253da1e8880c15dc938245d68a7bb82bc2336b4af07e26399710,1
macos-arm64-default,canonical_order,pillow,drop_location_denylist,xmp.exif_gps_latitude,location,app1_xmp,2,9,60bd8da1bd2c8c9d7b0fe76bd39a3676ff01ff1be5b772cb5ed3abb5f7a43189,0,category_denylist,,0
macos-arm64-default,canonical_order,pillow,drop_location_denylist,xmp.exif_gps_longitude,location,app1_xmp,2,10,1028768052775d7ace117df27118f385b25d89c33ab8a7875ba572449fcae028,0,category_denylist,,0
macos-arm64-default,canonical_order,pillow,drop_location_denylist,xmp.synthetic_pipeline_hint,unclassified,app1_xmp,2,23,08e9c43c0f96b931b38a3e945835d2994bc30ba934b41fe9057e9145d9f4451c,1,not_denied,08e9c43c0f96b931b38a3e945835d2994bc30ba934b41fe9057e9145d9f4451c,1
macos-arm64-default,canonical_order,pillow,retain_all,app13.opaque,unclassified,app13,4,25,1b1381cf40a654cbf63a6c4f6ad3fc1eb8d5646194c9e187819ffa3e9a2196bb,1,explicit_retain_all,1b1381cf40a654cbf63a6c4f6ad3fc1eb8d5646194c9e187819ffa3e9a2196bb,1
macos-arm64-default,canonical_order,pillow,retain_all,exif.artist,attribution,app1_exif,1,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1,explicit_retain_all,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1
macos-arm64-default,canonical_order,pillow,retain_all,exif.datetime,temporal,app1_exif,1,19,5ddef0c44a26e0b7b7d7b23402e031233ada29a57cfdf1014da8622ba9a8c0f7,1,explicit_retain_all,5ddef0c44a26e0b7b7d7b23402e031233ada29a57cfdf1014da8622ba9a8c0f7,1
macos-arm64-default,canonical_order,pillow,retain_all,exif.image_description,descriptive,app1_exif,1,27,bcbc96e63b798af4849f383f467e7f8fef414450f8775b88fa48f47a02f24a8c,1,explicit_retain_all,bcbc96e63b798af4849f383f467e7f8fef414450f8775b88fa48f47a02f24a8c,1
macos-arm64-default,canonical_order,pillow,retain_all,exif.orientation,interpretation,app1_exif,1,1,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1,explicit_retain_all,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1
macos-arm64-default,canonical_order,pillow,retain_all,icc.profile,interpretation,app2_icc,3,588,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1,explicit_retain_all,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1
macos-arm64-default,canonical_order,pillow,retain_all,jpeg.comment,descriptive,jpeg_com,5,22,351c5bdaee6ca960c13f54697d6deeb3d0d99cb306de8dedc100c4e81d74aed0,1,explicit_retain_all,351c5bdaee6ca960c13f54697d6deeb3d0d99cb306de8dedc100c4e81d74aed0,1
macos-arm64-default,canonical_order,pillow,retain_all,xmp.dc_creator,attribution,app1_xmp,2,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1,explicit_retain_all,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1
macos-arm64-default,canonical_order,pillow,retain_all,xmp.dc_title,descriptive,app1_xmp,2,32,a71e42e452ca253da1e8880c15dc938245d68a7bb82bc2336b4af07e26399710,1,explicit_retain_all,a71e42e452ca253da1e8880c15dc938245d68a7bb82bc2336b4af07e26399710,1
macos-arm64-default,canonical_order,pillow,retain_all,xmp.exif_gps_latitude,location,app1_xmp,2,9,60bd8da1bd2c8c9d7b0fe76bd39a3676ff01ff1be5b772cb5ed3abb5f7a43189,1,explicit_retain_all,60bd8da1bd2c8c9d7b0fe76bd39a3676ff01ff1be5b772cb5ed3abb5f7a43189,1
macos-arm64-default,canonical_order,pillow,retain_all,xmp.exif_gps_longitude,location,app1_xmp,2,10,1028768052775d7ace117df27118f385b25d89c33ab8a7875ba572449fcae028,1,explicit_retain_all,1028768052775d7ace117df27118f385b25d89c33ab8a7875ba572449fcae028,1
macos-arm64-default,canonical_order,pillow,retain_all,xmp.synthetic_pipeline_hint,unclassified,app1_xmp,2,23,08e9c43c0f96b931b38a3e945835d2994bc30ba934b41fe9057e9145d9f4451c,1,explicit_retain_all,08e9c43c0f96b931b38a3e945835d2994bc30ba934b41fe9057e9145d9f4451c,1
macos-arm64-default,canonical_order,pillow,strip_all,app13.opaque,unclassified,app13,4,25,1b1381cf40a654cbf63a6c4f6ad3fc1eb8d5646194c9e187819ffa3e9a2196bb,0,explicit_strip_all,,0
macos-arm64-default,canonical_order,pillow,strip_all,exif.artist,attribution,app1_exif,1,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,0,explicit_strip_all,,0
macos-arm64-default,canonical_order,pillow,strip_all,exif.datetime,temporal,app1_exif,1,19,5ddef0c44a26e0b7b7d7b23402e031233ada29a57cfdf1014da8622ba9a8c0f7,0,explicit_strip_all,,0
macos-arm64-default,canonical_order,pillow,strip_all,exif.image_description,descriptive,app1_exif,1,27,bcbc96e63b798af4849f383f467e7f8fef414450f8775b88fa48f47a02f24a8c,0,explicit_strip_all,,0
macos-arm64-default,canonical_order,pillow,strip_all,exif.orientation,interpretation,app1_exif,1,1,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,0,explicit_strip_all,,0
macos-arm64-default,canonical_order,pillow,strip_all,icc.profile,interpretation,app2_icc,3,588,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,0,explicit_strip_all,,0
macos-arm64-default,canonical_order,pillow,strip_all,jpeg.comment,descriptive,jpeg_com,5,22,351c5bdaee6ca960c13f54697d6deeb3d0d99cb306de8dedc100c4e81d74aed0,0,explicit_strip_all,,0
macos-arm64-default,canonical_order,pillow,strip_all,xmp.dc_creator,attribution,app1_xmp,2,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,0,explicit_strip_all,,0
macos-arm64-default,canonical_order,pillow,strip_all,xmp.dc_title,descriptive,app1_xmp,2,32,a71e42e452ca253da1e8880c15dc938245d68a7bb82bc2336b4af07e26399710,0,explicit_strip_all,,0
macos-arm64-default,canonical_order,pillow,strip_all,xmp.exif_gps_latitude,location,app1_xmp,2,9,60bd8da1bd2c8c9d7b0fe76bd39a3676ff01ff1be5b772cb5ed3abb5f7a43189,0,explicit_strip_all,,0
macos-arm64-default,canonical_order,pillow,strip_all,xmp.exif_gps_longitude,location,app1_xmp,2,10,1028768052775d7ace117df27118f385b25d89c33ab8a7875ba572449fcae028,0,explicit_strip_all,,0
macos-arm64-default,canonical_order,pillow,strip_all,xmp.synthetic_pipeline_hint,unclassified,app1_xmp,2,23,08e9c43c0f96b931b38a3e945835d2994bc30ba934b41fe9057e9145d9f4451c,0,explicit_strip_all,,0
macos-arm64-default,reordered_equivalent,opencv,allow_attribution,app13.opaque,unclassified,app13,2,25,1b1381cf40a654cbf63a6c4f6ad3fc1eb8d5646194c9e187819ffa3e9a2196bb,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_attribution,exif.artist,attribution,app1_exif,5,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1,field_allowlist,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1
macos-arm64-default,reordered_equivalent,opencv,allow_attribution,exif.datetime,temporal,app1_exif,5,19,5ddef0c44a26e0b7b7d7b23402e031233ada29a57cfdf1014da8622ba9a8c0f7,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_attribution,exif.image_description,descriptive,app1_exif,5,27,bcbc96e63b798af4849f383f467e7f8fef414450f8775b88fa48f47a02f24a8c,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_attribution,exif.orientation,interpretation,app1_exif,5,1,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1,field_allowlist,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1
macos-arm64-default,reordered_equivalent,opencv,allow_attribution,icc.profile,interpretation,app2_icc,3,588,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1,field_allowlist,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1
macos-arm64-default,reordered_equivalent,opencv,allow_attribution,jpeg.comment,descriptive,jpeg_com,1,22,351c5bdaee6ca960c13f54697d6deeb3d0d99cb306de8dedc100c4e81d74aed0,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_attribution,xmp.dc_creator,attribution,app1_xmp,4,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1,field_allowlist,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1
macos-arm64-default,reordered_equivalent,opencv,allow_attribution,xmp.dc_title,descriptive,app1_xmp,4,32,a71e42e452ca253da1e8880c15dc938245d68a7bb82bc2336b4af07e26399710,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_attribution,xmp.exif_gps_latitude,location,app1_xmp,4,9,60bd8da1bd2c8c9d7b0fe76bd39a3676ff01ff1be5b772cb5ed3abb5f7a43189,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_attribution,xmp.exif_gps_longitude,location,app1_xmp,4,10,1028768052775d7ace117df27118f385b25d89c33ab8a7875ba572449fcae028,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_attribution,xmp.synthetic_pipeline_hint,unclassified,app1_xmp,4,23,08e9c43c0f96b931b38a3e945835d2994bc30ba934b41fe9057e9145d9f4451c,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_catalog,app13.opaque,unclassified,app13,2,25,1b1381cf40a654cbf63a6c4f6ad3fc1eb8d5646194c9e187819ffa3e9a2196bb,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_catalog,exif.artist,attribution,app1_exif,5,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_catalog,exif.datetime,temporal,app1_exif,5,19,5ddef0c44a26e0b7b7d7b23402e031233ada29a57cfdf1014da8622ba9a8c0f7,1,field_allowlist,5ddef0c44a26e0b7b7d7b23402e031233ada29a57cfdf1014da8622ba9a8c0f7,1
macos-arm64-default,reordered_equivalent,opencv,allow_catalog,exif.image_description,descriptive,app1_exif,5,27,bcbc96e63b798af4849f383f467e7f8fef414450f8775b88fa48f47a02f24a8c,1,field_allowlist,bcbc96e63b798af4849f383f467e7f8fef414450f8775b88fa48f47a02f24a8c,1
macos-arm64-default,reordered_equivalent,opencv,allow_catalog,exif.orientation,interpretation,app1_exif,5,1,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1,field_allowlist,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1
macos-arm64-default,reordered_equivalent,opencv,allow_catalog,icc.profile,interpretation,app2_icc,3,588,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1,field_allowlist,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1
macos-arm64-default,reordered_equivalent,opencv,allow_catalog,jpeg.comment,descriptive,jpeg_com,1,22,351c5bdaee6ca960c13f54697d6deeb3d0d99cb306de8dedc100c4e81d74aed0,1,field_allowlist,351c5bdaee6ca960c13f54697d6deeb3d0d99cb306de8dedc100c4e81d74aed0,1
macos-arm64-default,reordered_equivalent,opencv,allow_catalog,xmp.dc_creator,attribution,app1_xmp,4,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_catalog,xmp.dc_title,descriptive,app1_xmp,4,32,a71e42e452ca253da1e8880c15dc938245d68a7bb82bc2336b4af07e26399710,1,field_allowlist,a71e42e452ca253da1e8880c15dc938245d68a7bb82bc2336b4af07e26399710,1
macos-arm64-default,reordered_equivalent,opencv,allow_catalog,xmp.exif_gps_latitude,location,app1_xmp,4,9,60bd8da1bd2c8c9d7b0fe76bd39a3676ff01ff1be5b772cb5ed3abb5f7a43189,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_catalog,xmp.exif_gps_longitude,location,app1_xmp,4,10,1028768052775d7ace117df27118f385b25d89c33ab8a7875ba572449fcae028,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_catalog,xmp.synthetic_pipeline_hint,unclassified,app1_xmp,4,23,08e9c43c0f96b931b38a3e945835d2994bc30ba934b41fe9057e9145d9f4451c,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_visual_context,app13.opaque,unclassified,app13,2,25,1b1381cf40a654cbf63a6c4f6ad3fc1eb8d5646194c9e187819ffa3e9a2196bb,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_visual_context,exif.artist,attribution,app1_exif,5,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_visual_context,exif.datetime,temporal,app1_exif,5,19,5ddef0c44a26e0b7b7d7b23402e031233ada29a57cfdf1014da8622ba9a8c0f7,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_visual_context,exif.image_description,descriptive,app1_exif,5,27,bcbc96e63b798af4849f383f467e7f8fef414450f8775b88fa48f47a02f24a8c,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_visual_context,exif.orientation,interpretation,app1_exif,5,1,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1,field_allowlist,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1
macos-arm64-default,reordered_equivalent,opencv,allow_visual_context,icc.profile,interpretation,app2_icc,3,588,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1,field_allowlist,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1
macos-arm64-default,reordered_equivalent,opencv,allow_visual_context,jpeg.comment,descriptive,jpeg_com,1,22,351c5bdaee6ca960c13f54697d6deeb3d0d99cb306de8dedc100c4e81d74aed0,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_visual_context,xmp.dc_creator,attribution,app1_xmp,4,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_visual_context,xmp.dc_title,descriptive,app1_xmp,4,32,a71e42e452ca253da1e8880c15dc938245d68a7bb82bc2336b4af07e26399710,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_visual_context,xmp.exif_gps_latitude,location,app1_xmp,4,9,60bd8da1bd2c8c9d7b0fe76bd39a3676ff01ff1be5b772cb5ed3abb5f7a43189,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_visual_context,xmp.exif_gps_longitude,location,app1_xmp,4,10,1028768052775d7ace117df27118f385b25d89c33ab8a7875ba572449fcae028,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,allow_visual_context,xmp.synthetic_pipeline_hint,unclassified,app1_xmp,4,23,08e9c43c0f96b931b38a3e945835d2994bc30ba934b41fe9057e9145d9f4451c,0,not_allowlisted,,0
macos-arm64-default,reordered_equivalent,opencv,drop_location_denylist,app13.opaque,unclassified,app13,2,25,1b1381cf40a654cbf63a6c4f6ad3fc1eb8d5646194c9e187819ffa3e9a2196bb,1,not_denied,1b1381cf40a654cbf63a6c4f6ad3fc1eb8d5646194c9e187819ffa3e9a2196bb,1
macos-arm64-default,reordered_equivalent,opencv,drop_location_denylist,exif.artist,attribution,app1_exif,5,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1,not_denied,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1
macos-arm64-default,reordered_equivalent,opencv,drop_location_denylist,exif.datetime,temporal,app1_exif,5,19,5ddef0c44a26e0b7b7d7b23402e031233ada29a57cfdf1014da8622ba9a8c0f7,1,not_denied,5ddef0c44a26e0b7b7d7b23402e031233ada29a57cfdf1014da8622ba9a8c0f7,1
macos-arm64-default,reordered_equivalent,opencv,drop_location_denylist,exif.image_description,descriptive,app1_exif,5,27,bcbc96e63b798af4849f383f467e7f8fef414450f8775b88fa48f47a02f24a8c,1,not_denied,bcbc96e63b798af4849f383f467e7f8fef414450f8775b88fa48f47a02f24a8c,1
macos-arm64-default,reordered_equivalent,opencv,drop_location_denylist,exif.orientation,interpretation,app1_exif,5,1,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1,not_denied,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1
macos-arm64-default,reordered_equivalent,opencv,drop_location_denylist,icc.profile,interpretation,app2_icc,3,588,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1,not_denied,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1
macos-arm64-default,reordered_equivalent,opencv,drop_location_denylist,jpeg.comment,descriptive,jpeg_com,1,22,351c5bdaee6ca960c13f54697d6deeb3d0d99cb306de8dedc100c4e81d74aed0,1,not_denied,351c5bdaee6ca960c13f54697d6deeb3d0d99cb306de8dedc100c4e81d74aed0,1
macos-arm64-default,reordered_equivalent,opencv,drop_location_denylist,xmp.dc_creator,attribution,app1_xmp,4,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1,not_denied,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1
macos-arm64-default,reordered_equivalent,opencv,drop_location_denylist,xmp.dc_title,descriptive,app1_xmp,4,32,a71e42e452ca253da1e8880c15dc938245d68a7bb82bc2336b4af07e26399710,1,not_denied,a71e42e452ca253da1e8880c15dc938245d68a7bb82bc2336b4af07e26399710,1
macos-arm64-default,reordered_equivalent,opencv,drop_location_denylist,xmp.exif_gps_latitude,location,app1_xmp,4,9,60bd8da1bd2c8c9d7b0fe76bd39a3676ff01ff1be5b772cb5ed3abb5f7a43189,0,category_denylist,,0
macos-arm64-default,reordered_equivalent,opencv,drop_location_denylist,xmp.exif_gps_longitude,location,app1_xmp,4,10,1028768052775d7ace117df27118f385b25d89c33ab8a7875ba572449fcae028,0,category_denylist,,0
macos-arm64-default,reordered_equivalent,opencv,drop_location_denylist,xmp.synthetic_pipeline_hint,unclassified,app1_xmp,4,23,08e9c43c0f96b931b38a3e945835d2994bc30ba934b41fe9057e9145d9f4451c,1,not_denied,08e9c43c0f96b931b38a3e945835d2994bc30ba934b41fe9057e9145d9f4451c,1
macos-arm64-default,reordered_equivalent,opencv,retain_all,app13.opaque,unclassified,app13,2,25,1b1381cf40a654cbf63a6c4f6ad3fc1eb8d5646194c9e187819ffa3e9a2196bb,1,explicit_retain_all,1b1381cf40a654cbf63a6c4f6ad3fc1eb8d5646194c9e187819ffa3e9a2196bb,1
macos-arm64-default,reordered_equivalent,opencv,retain_all,exif.artist,attribution,app1_exif,5,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1,explicit_retain_all,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1
macos-arm64-default,reordered_equivalent,opencv,retain_all,exif.datetime,temporal,app1_exif,5,19,5ddef0c44a26e0b7b7d7b23402e031233ada29a57cfdf1014da8622ba9a8c0f7,1,explicit_retain_all,5ddef0c44a26e0b7b7d7b23402e031233ada29a57cfdf1014da8622ba9a8c0f7,1
macos-arm64-default,reordered_equivalent,opencv,retain_all,exif.image_description,descriptive,app1_exif,5,27,bcbc96e63b798af4849f383f467e7f8fef414450f8775b88fa48f47a02f24a8c,1,explicit_retain_all,bcbc96e63b798af4849f383f467e7f8fef414450f8775b88fa48f47a02f24a8c,1
macos-arm64-default,reordered_equivalent,opencv,retain_all,exif.orientation,interpretation,app1_exif,5,1,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1,explicit_retain_all,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1
macos-arm64-default,reordered_equivalent,opencv,retain_all,icc.profile,interpretation,app2_icc,3,588,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1,explicit_retain_all,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1
macos-arm64-default,reordered_equivalent,opencv,retain_all,jpeg.comment,descriptive,jpeg_com,1,22,351c5bdaee6ca960c13f54697d6deeb3d0d99cb306de8dedc100c4e81d74aed0,1,explicit_retain_all,351c5bdaee6ca960c13f54697d6deeb3d0d99cb306de8dedc100c4e81d74aed0,1
macos-arm64-default,reordered_equivalent,opencv,retain_all,xmp.dc_creator,attribution,app1_xmp,4,16,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1,explicit_retain_all,3c77ab689128a2bee9abb599d035d0f704b5f415644da1e074fa9df8ac2dd39b,1
macos-arm64-default,reordered_equivalent,opencv,retain_all,xmp.dc_title,descriptive,app1_xmp,4,32,a71e42e452ca253da1e8880c15dc938245d68a7bb82bc2336b4af07e26399710,1,explicit_retain_all,a71e42e452ca253da1e8880c15dc938245d68a7bb82bc2336b4af07e26399710,1
macos-arm64-default,reordered_equivalent,opencv,retain_all,xmp.exif_gps_latitude,location,app1_xmp,4,9,60bd8da1bd2c8c9d7b0fe76bd39a3676ff01ff1be5b772cb5ed3abb5f7a43189,1,explicit_retain_all,60bd8da1bd2c8c9d7b0fe76bd39a3676ff01ff1be5b772cb5ed3abb5f7a43189,1
